NOMBRE,LINEA,# SIMBOLO EN FILA,TIPO 1,TIPO 2,TIPO 3
<!,0,0,Operador Relacional,Separador,
Este,0,1,Identificador,,
" ",0,2,Separador,,
es,0,3,Identificador,,
" ",0,4,Separador,,
un,0,5,Identificador,,
" ",0,6,Separador,,
codigo,0,7,Identificador,,
" ",0,8,Separador,,
en,0,9,Identificador,,
" ",0,10,Separador,,
el,0,11,Identificador,,
" ",0,12,Separador,,
lenguaje,0,13,Identificador,,
" ",0,14,Separador,,
de,0,15,Identificador,,
" ",0,16,Separador,,
programacion,0,17,Identificador,,
" ",0,18,Separador,,
Messi,0,19,Identificador,,
!>,0,20,Separador,,
package,1,0,Palabra reservada,,
" ",1,1,Separador,,
main,1,2,Palabra reservada,Variable,Funcion
import,2,0,Palabra reservada,,
" ",2,1,Separador,,
(,2,2,Separador,,
" ",3,0,Separador,,
" ",3,1,Separador,,
" ",3,2,Separador,,
" ",3,3,Separador,,
#,3,4,Separador,,
fmt,3,5,Identificador,,
#,3,6,Separador,,
" ",4,0,Separador,,
" ",4,1,Separador,,
" ",4,2,Separador,,
" ",4,3,Separador,,
#,4,4,Separador,,
gol,4,5,Identificador,,
#,4,6,Separador,,
" ",5,0,Separador,,
" ",5,1,Separador,,
" ",5,2,Separador,,
" ",5,3,Separador,,
#,5,4,Separador,,
hinchas,5,5,Identificador,,
#,5,6,Separador,,
),6,0,Separador,,
func,8,0,Palabra reservada,Variable,Funcion
" ",8,1,Separador,,
main,8,2,Palabra reservada,Variable,Funcion
(,8,3,Separador,,
),8,4,Separador,,
" ",8,5,Separador,,
{,8,6,Separador,,
"	const",9,0,Identificador,,
" ",9,1,Separador,,
int,9,2,Tipo de dato,Palabra reservada,Identificador
" ",9,3,Separador,,
@diasSemana,9,4,Identificador,Constante,
" ",9,5,Separador,,
=,9,6,Operador Relacional,Separador,
" ",9,7,Separador,,
7,9,8,Identificador,,
" ",10,0,Separador,,
" ",10,1,Separador,,
" ",10,2,Separador,,
" ",10,3,Separador,,
const,10,4,Palabra reservada,,
" ",10,5,Separador,,
int,10,6,Tipo de dato,Palabra reservada,Identificador
" ",10,7,Separador,,
@diasMes,10,8,Identificador,Constante,
" ",10,9,Separador,,
=,10,10,Operador Relacional,Separador,
" ",10,11,Separador,,
31,10,12,Identificador,,
"	var",11,0,Identificador,,
" ",11,1,Separador,,
int,11,2,Tipo de dato,Palabra reservada,Identificador
" ",11,3,Separador,,
$horasSemana,11,4,Identificador,Variable,
"	$horasSemana",12,0,Identificador,,
" ",12,1,Separador,,
=,12,2,Operador Relacional,Separador,
" ",12,3,Separador,,
(,12,4,Separador,,
7,12,5,Identificador,,
*,12,6,Operador Aritmetico,Separador,
24,12,7,Identificador,,
),12,8,Separador,,
+,12,9,Operador Aritmetico,Separador,
1,12,10,Identificador,,
-,12,11,Operador Aritmetico,Separador,
1,12,12,Identificador,,
"	fmt.Println",13,0,Identificador,,
(,13,1,Separador,,
#,13,2,Separador,,
Los,13,3,Identificador,,
" ",13,4,Separador,,
dias,13,5,Identificador,,
" ",13,6,Separador,,
de,13,7,Identificador,,
" ",13,8,Separador,,
la,13,9,Identificador,,
" ",13,10,Separador,,
semana,13,11,Identificador,,
" ",13,12,Separador,,
son,13,13,Identificador,,
:,13,14,Separador,,
#,13,15,Separador,,
" ",13,16,Separador,,
+,13,17,Operador Aritmetico,Separador,
" ",13,18,Separador,,
@diasSemana,13,19,Identificador,Constante,
),13,20,Separador,,
"	fmt.Println",14,0,Identificador,,
(,14,1,Separador,,
#,14,2,Separador,,
Las,14,3,Identificador,,
" ",14,4,Separador,,
horas,14,5,Identificador,,
" ",14,6,Separador,,
de,14,7,Identificador,,
" ",14,8,Separador,,
una,14,9,Identificador,,
" ",14,10,Separador,,
semana,14,11,Identificador,,
" ",14,12,Separador,,
son,14,13,Identificador,,
:,14,14,Separador,,
#,14,15,Separador,,
" ",14,16,Separador,,
+,14,17,Operador Aritmetico,Separador,
" ",14,18,Separador,,
$horasSemana,14,19,Identificador,Variable,
),14,20,Separador,,
"	if",15,0,Identificador,,
" ",15,1,Separador,,
(,15,2,Separador,,
@diasSemana,15,3,Identificador,Constante,
" ",15,4,Separador,,
=,15,5,Operador Relacional,Separador,
" ",15,6,Separador,,
8,15,7,Identificador,,
),15,8,Separador,,
" ",15,9,Separador,,
{,15,10,Separador,,
"		fmt.Println",16,0,Identificador,,
(,16,1,Separador,,
#,16,2,Separador,,
"ERROR,",16,3,Identificador,,
" ",16,4,Separador,,
los,16,5,Identificador,,
" ",16,6,Separador,,
dias,16,7,Identificador,,
" ",16,8,Separador,,
de,16,9,Identificador,,
" ",16,10,Separador,,
la,16,11,Identificador,,
" ",16,12,Separador,,
semana,16,13,Identificador,,
" ",16,14,Separador,,
son,16,15,Identificador,,
" ",16,16,Separador,,
8,16,17,Identificador,,
#,16,18,Separador,,
),16,19,Separador,,
"	",17,0,Identificador,,
},17,1,Separador,,
" ",17,2,Separador,,
else,17,3,Condicional,Palabra reservada,
" ",17,4,Separador,,
{,17,5,Separador,,
"		fmt.Println",18,0,Identificador,,
(,18,1,Separador,,
#,18,2,Separador,,
Estas,18,3,Identificador,,
" ",18,4,Separador,,
en,18,5,Identificador,,
" ",18,6,Separador,,
lo,18,7,Identificador,,
" ",18,8,Separador,,
correcto,18,9,Identificador,,
#,18,10,Separador,,
),18,11,Separador,,
"	",19,0,Identificador,,
},19,1,Separador,,
"	var",20,0,Identificador,,
" ",20,1,Separador,,
int,20,2,Tipo de dato,Palabra reservada,Identificador
" ",20,3,Separador,,
[,20,4,Separador,,
],20,5,Separador,,
" ",20,6,Separador,,
$almacenamiento,20,7,Identificador,Variable,
" ",20,8,Separador,,
"	for",21,0,Identificador,,
(,21,1,Separador,,
int,21,2,Tipo de dato,Palabra reservada,Identificador
" ",21,3,Separador,,
$i,21,4,Identificador,Variable,
" ",21,5,Separador,,
=,21,6,Operador Relacional,Separador,
" ",21,7,Separador,,
"0,",21,8,Identificador,,
" ",21,9,Separador,,
$i,21,10,Identificador,Variable,
" ",21,11,Separador,,
<=,21,12,Operador Relacional,Separador,
" ",21,13,Separador,,
"10,",21,14,Identificador,,
" ",21,15,Separador,,
i,21,16,Identificador,,
++,21,17,Operador Aritmetico,Separador,
),21,18,Separador,,
" ",21,19,Separador,,
{,21,20,Separador,,
"		$almacenamiento.append",22,0,Identificador,,
(,22,1,Separador,,
$almacenamiento,22,2,Identificador,Variable,
" ",22,3,Separador,,
",",22,4,Identificador,,
" ",22,5,Separador,,
i,22,6,Identificador,,
),22,7,Separador,,
"	",23,0,Identificador,,
},23,1,Separador,,
"	fmt.Println",24,0,Identificador,,
(,24,1,Separador,,
$almacenamiento,24,2,Identificador,Variable,
[,24,3,Separador,,
3,24,4,Identificador,,
],24,5,Separador,,
),24,6,Separador,,
"	if",25,0,Identificador,,
(,25,1,Separador,,
real,25,2,Palabra reservada,,
" ",25,3,Separador,,
and,25,4,Operador Logico,Palabra reservada,
" ",25,5,Separador,,
feka,25,6,Palabra reservada,,
),25,7,Separador,,
{,25,8,Separador,,
"		fmt.Println",26,0,Identificador,,
(,26,1,Separador,,
#,26,2,Separador,,
Estas,26,3,Identificador,,
" ",26,4,Separador,,
equivocado,26,5,Identificador,,
#,26,6,Separador,,
),26,7,Separador,,
"	",27,0,Identificador,,
},27,1,Separador,,
" ",27,2,Separador,,
},28,0,Separador,,
