NOMBRE,LINEA,# SIMBOLO EN FILA,TIPO 1,TIPO 2,TIPO 3
<!,0,0,Operador relacional,Separador,
Este,0,1,Identificador,,
" ",0,2,Separador,,
es,0,3,Identificador,,
" ",0,4,Separador,,
un,0,5,Identificador,,
" ",0,6,Separador,,
codigo,0,7,Identificador,,
" ",0,8,Separador,,
en,0,9,Identificador,,
" ",0,10,Separador,,
el,0,11,Identificador,,
" ",0,12,Separador,,
lenguaje,0,13,Identificador,,
" ",0,14,Separador,,
de,0,15,Identificador,,
" ",0,16,Separador,,
programacion,0,17,Identificador,,
" ",0,18,Separador,,
Messi,0,19,Identificador,,
!>,0,20,Separador,,
package,1,0,Palabra reservada,,
" ",1,1,Separador,,
main,1,2,Palabra reservada,Variable,Funcion
import,2,0,Palabra reservada,,
" ",2,1,Separador,,
(,2,2,Separador,,
"	",3,0,Separador,,
#,3,1,Separador,,
fmt,3,2,Identificador,,
#,3,3,Separador,,
"	",4,0,Separador,,
#,4,1,Separador,,
gol,4,2,Identificador,,
#,4,3,Separador,,
"	",5,0,Separador,,
#,5,1,Separador,,
hinchas,5,2,Identificador,,
#,5,3,Separador,,
),6,0,Separador,,
func,8,0,Palabra reservada,Variable,Funcion
" ",8,1,Separador,,
main,8,2,Palabra reservada,Variable,Funcion
(,8,3,Separador,,
),8,4,Separador,,
" ",8,5,Separador,,
{,8,6,Separador,,
"	",9,0,Separador,,
const,9,1,Palabra reservada,,
" ",9,2,Separador,,
int,9,3,Tipo de Dato,Palabra reservada,Identificador
" ",9,4,Separador,,
@,9,5,Variable,Separador,
diasSemana,9,6,Identificador,,
" ",9,7,Separador,,
=,9,8,Operador relacional,Separador,
" ",9,9,Separador,,
7,9,10,Identificador,,
"	",10,0,Separador,,
const,10,1,Palabra reservada,,
" ",10,2,Separador,,
int,10,3,Tipo de Dato,Palabra reservada,Identificador
" ",10,4,Separador,,
@,10,5,Variable,Separador,
diasMes,10,6,Identificador,,
" ",10,7,Separador,,
=,10,8,Operador relacional,Separador,
" ",10,9,Separador,,
31,10,10,Identificador,,
"	",11,0,Separador,,
var,11,1,Palabra reservada,,
" ",11,2,Separador,,
int,11,3,Tipo de Dato,Palabra reservada,Identificador
" ",11,4,Separador,,
$,11,5,Constante,Separador,
horasSemana,11,6,Identificador,,
"	",12,0,Separador,,
$,12,1,Constante,Separador,
horasSemana,12,2,Identificador,,
" ",12,3,Separador,,
=,12,4,Operador relacional,Separador,
" ",12,5,Separador,,
(,12,6,Separador,,
7,12,7,Identificador,,
*,12,8,Operador aritmetico,Separador,
24,12,9,Identificador,,
),12,10,Separador,,
+,12,11,Operador aritmetico,Separador,
1,12,12,Identificador,,
-,12,13,Operador aritmetico,Separador,
1,12,14,Identificador,,
"	",13,0,Separador,,
fmt,13,1,Identificador,,
.,13,2,Separador,,
Println,13,3,Identificador,,
(,13,4,Separador,,
"""",13,5,Separador,Comentarios,
Los,13,6,Identificador,,
" ",13,7,Separador,,
dias,13,8,Identificador,,
" ",13,9,Separador,,
de,13,10,Identificador,,
" ",13,11,Separador,,
la,13,12,Identificador,,
" ",13,13,Separador,,
semana,13,14,Identificador,,
" ",13,15,Separador,,
son,13,16,Identificador,,
:,13,17,Separador,,
"""",13,18,Separador,Comentarios,
" ",13,19,Separador,,
+,13,20,Operador aritmetico,Separador,
" ",13,21,Separador,,
@,13,22,Variable,Separador,
diasSemana,13,23,Identificador,,
),13,24,Separador,,
"	",14,0,Separador,,
fmt,14,1,Identificador,,
.,14,2,Separador,,
Println,14,3,Identificador,,
(,14,4,Separador,,
"""",14,5,Separador,Comentarios,
Las,14,6,Identificador,,
" ",14,7,Separador,,
horas,14,8,Identificador,,
" ",14,9,Separador,,
de,14,10,Identificador,,
" ",14,11,Separador,,
una,14,12,Identificador,,
" ",14,13,Separador,,
semana,14,14,Identificador,,
" ",14,15,Separador,,
son,14,16,Identificador,,
:,14,17,Separador,,
"""",14,18,Separador,Comentarios,
" ",14,19,Separador,,
+,14,20,Operador aritmetico,Separador,
" ",14,21,Separador,,
$,14,22,Constante,Separador,
horasSemana,14,23,Identificador,,
),14,24,Separador,,
"	",15,0,Separador,,
if,15,1,Condicional,Palabra reservada,
" ",15,2,Separador,,
(,15,3,Separador,,
@,15,4,Variable,Separador,
diasSemana,15,5,Identificador,,
" ",15,6,Separador,,
=,15,7,Operador relacional,Separador,
" ",15,8,Separador,,
8,15,9,Identificador,,
),15,10,Separador,,
" ",15,11,Separador,,
{,15,12,Separador,,
"	",16,0,Separador,,
"	",16,1,Separador,,
fmt,16,2,Identificador,,
.,16,3,Separador,,
Println,16,4,Identificador,,
(,16,5,Separador,,
"""",16,6,Separador,Comentarios,
"ERROR,",16,7,Identificador,,
" ",16,8,Separador,,
los,16,9,Identificador,,
" ",16,10,Separador,,
dias,16,11,Identificador,,
" ",16,12,Separador,,
de,16,13,Identificador,,
" ",16,14,Separador,,
la,16,15,Identificador,,
" ",16,16,Separador,,
semana,16,17,Identificador,,
" ",16,18,Separador,,
son,16,19,Identificador,,
" ",16,20,Separador,,
8,16,21,Identificador,,
"""",16,22,Separador,Comentarios,
),16,23,Separador,,
"	",17,0,Separador,,
},17,1,Separador,,
"	",17,2,Separador,,
else,17,3,Condicional,Palabra reservada,
"	",17,4,Separador,,
{,17,5,Separador,,
"	",18,0,Separador,,
"	",18,1,Separador,,
fmt,18,2,Identificador,,
.,18,3,Separador,,
Println,18,4,Identificador,,
(,18,5,Separador,,
"""",18,6,Separador,Comentarios,
Estas,18,7,Identificador,,
" ",18,8,Separador,,
en,18,9,Identificador,,
" ",18,10,Separador,,
lo,18,11,Identificador,,
" ",18,12,Separador,,
correcto,18,13,Identificador,,
"""",18,14,Separador,Comentarios,
),18,15,Separador,,
"	",19,0,Separador,,
},19,1,Separador,,
"	",20,0,Separador,,
var,20,1,Palabra reservada,,
" ",20,2,Separador,,
int,20,3,Tipo de Dato,Palabra reservada,Identificador
" ",20,4,Separador,,
[,20,5,Separador,,
],20,6,Separador,,
" ",20,7,Separador,,
$,20,8,Constante,Separador,
almacenamiento,20,9,Identificador,,
" ",20,10,Separador,,
"	",21,0,Separador,,
for,21,1,Control de flujo,Palabra reservada,
(,21,2,Separador,,
int,21,3,Tipo de Dato,Palabra reservada,Identificador
" ",21,4,Separador,,
$,21,5,Constante,Separador,
i,21,6,Identificador,,
" ",21,7,Separador,,
=,21,8,Operador relacional,Separador,
" ",21,9,Separador,,
"0,",21,10,Identificador,,
" ",21,11,Separador,,
$,21,12,Constante,Separador,
i,21,13,Identificador,,
" ",21,14,Separador,,
<=,21,15,Operador relacional,Separador,
" ",21,16,Separador,,
"10,",21,17,Identificador,,
" ",21,18,Separador,,
i,21,19,Identificador,,
++,21,20,Operador aritmetico,Separador,
),21,21,Separador,,
" ",21,22,Separador,,
{,21,23,Separador,,
"	",22,0,Separador,,
"	",22,1,Separador,,
$,22,2,Constante,Separador,
almacenamiento,22,3,Identificador,,
.,22,4,Separador,,
append,22,5,Identificador,,
(,22,6,Separador,,
$,22,7,Constante,Separador,
almacenamiento,22,8,Identificador,,
" ",22,9,Separador,,
",",22,10,Identificador,,
" ",22,11,Separador,,
i,22,12,Identificador,,
),22,13,Separador,,
"	",23,0,Separador,,
},23,1,Separador,,
"	",24,0,Separador,,
fmt,24,1,Identificador,,
.,24,2,Separador,,
Println,24,3,Identificador,,
(,24,4,Separador,,
$,24,5,Constante,Separador,
almacenamiento,24,6,Identificador,,
[,24,7,Separador,,
3,24,8,Identificador,,
],24,9,Separador,,
),24,10,Separador,,
"	",25,0,Separador,,
if,25,1,Condicional,Palabra reservada,
(,25,2,Separador,,
real,25,3,Palabra reservada,,
" ",25,4,Separador,,
and,25,5,Operador logico,Palabra reservada,
" ",25,6,Separador,,
feka,25,7,Palabra reservada,,
),25,8,Separador,,
{,25,9,Separador,,
"	",26,0,Separador,,
"	",26,1,Separador,,
fmt,26,2,Identificador,,
.,26,3,Separador,,
Println,26,4,Identificador,,
(,26,5,Separador,,
"""",26,6,Separador,Comentarios,
Estas,26,7,Identificador,,
" ",26,8,Separador,,
equivocado,26,9,Identificador,,
"""",26,10,Separador,Comentarios,
),26,11,Separador,,
"	",27,0,Separador,,
},27,1,Separador,,
},28,0,Separador,,
